Job Title,Company Name,Location,Type of ownership,Industry,Sector,Min Salary($),Max Salary($),Average Salary,Min Qualification,Python,R,SQL,C/C++/C#
Sr Data Scientist,Healthfirst,New York,Nonprofit Organization,Insurance Carriers,Insurance,137000,171000,154000,Bachelors,,,,
Data Scientist,ManTech,Chantilly,Company - Public,Research & Development,Business Services,137000,171000,154000,Bachelors,,,True,
Data Scientist,Analysis Group,Boston,Private Practice / Firm,Consulting,Business Services,137000,171000,154000,Phd,True,True,,True
Data Scientist,INFICON,Newton,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,137000,171000,154000,Bachelors,True,,True,
Data Scientist,Affinity Solutions,New York,Company - Private,Advertising & Marketing,Business Services,137000,171000,154000,Masters,True,True,True,
Data Scientist,HG Insights,Santa Barbara,Company - Private,Computer Hardware & Software,Information Technology,137000,171000,154000,Bachelors,True,,,
Data Scientist / Machine Learning Expert,Novartis,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,137000,171000,154000,Masters,True,True,,True
Data Scientist,iRobot,Bedford,Company - Public,Consumer Electronics & Appliances Stores,Retail,137000,171000,154000,Masters,True,,True,
Staff Data Scientist - Analytics,Intuit - Data,San Diego,Company - Public,Computer Hardware & Software,Information Technology,137000,171000,154000,,,,,
Data Scientist,XSELL Technologies,Chicago,Company - Private,Enterprise Software & Network Solutions,Information Technology,137000,171000,154000,Masters,True,,True,
Data Scientist,Novetta,Herndon,Company - Private,Enterprise Software & Network Solutions,Information Technology,137000,171000,154000,,True,True,,
Data Scientist,1904labs,Saint Louis,Company - Private,IT Services,Information Technology,137000,171000,154000,,True,True,True,
"Data Scientist - Statistics, Early Career",PNNL,Richland,Government,Energy,"Oil, Gas, Energy & Utilities",137000,171000,154000,Bachelors,,,,
Data Modeler,Old World Industries,Northbrook,Company - Private,Chemical Manufacturing,Manufacturing,137000,171000,154000,Bachelors,True,,True,
Data Scientist,Mathematica Policy Research,Washington,Company - Private,Consulting,Business Services,137000,171000,154000,Masters,True,True,,
Experienced Data Scientist,Guzman & Griffin Technologies (GGTI),Washington,Company - Private,Federal Agencies,Government,137000,171000,154000,Masters,True,True,True,True
